date,thru_date,approx_date,cand_restname,cand_lastname,cand_fullname,city,addtl_cities,county,state,cd_if_known,event_type,sponsor,description,source_or_link,source_or_link2
2018-12-04,NA,NA,Michael,Bloomberg,Michael Bloomberg,Des Moines,NA,NA,IA,NA,forum,NA,"""Paris to Pittsburgh""",https://www.desmoinesregister.com/story/news/politics/2018/11/26/michael-bloomberg-visit-iowa-2020-presidential-run-new-york-city-mayor-democrat-republican-climate/2120139002/,NA
2018-12-03,NA,NA,Bernie,Sanders,Bernie Sanders,Washington,NA,NA,DC,NA,town hall,NA,Solving Our Climate Crisis: A National Town Hall,https://www.facebook.com/events/326982228114064/,NA
2018-12-02,NA,NA,Tulsi,Gabbard,Tulsi Gabbard,Exeter,Concord,NA,NH,NA,meet and greet,NA,Meet & greet w/ local Dems / Rights & Democracy NH forum,https://www.c-span.org/video/?455180-1/representative-tulsi-gabbard-meets-hampshire-voters,NA
2018-12-02,NA,NA,John,Delaney,John Delaney,Sioux City,NA,NA,IA,NA,meet and greet,NA,Meet and greet with local Dems,David Wright,NA
2018-12-01,NA,NA,Amy,Klobuchar,Amy Klobuchar,Perry,NA,NA,IA,NA,event speech,NA,Iowa Farmers Union state convention,https://www.desmoinesregister.com/story/news/politics/2018/12/01/amy-klobuchar-minnesota-heartland-economics-iowa-caucus-democrats-farm-bill-farmers-union-convention/2174588002/,NA
2018-11-29,NA,NA,Elizabeth,Warren,Elizabeth Warren,Washington,NA,NA,DC,NA,event speech,NA,Foreign Policy Address,David Wright,NA
2018-11-28,NA,NA,Bernie,Sanders,Bernie Sanders,Washington,NA,NA,DC,NA,event speech,NA,“Where We Go From Here: Two Years in the Resistance”,https://www.gwhatchet.com/2018/11/28/bernie-sanders-doesnt-rule-out-2020-presidential-bid-at-on-campus-event/?platform=hootsuite,NA
2018-11-17,NA,NA,Kamala,Harris,Kamala Harris,Jackson,NA,NA,MS,NA,campaign event,NA,Campaign w/ Mike Espy,David Wright,NA
2018-11-16,NA,NA,Andrew,Yang,Andrew Yang,Iowa City,NA,NA,IA,NA,event speech,NA,Event at Univ. of Iowa,https://iowastartingline.com/2020-watch/,NA
2018-11-16,NA,NA,Deval,Patrick,Deval Patrick,Charleston,NA,NA,SC,NA,event speech,NA,keynote at Charleston Trident Urban League's 27th Annual Equal Opportunity and Diversity Fundraiser,https://form.jotform.com/82615128184154,NA
2018-11-16,NA,NA,Beto,O'Rourke,Beto O'Rourke,Washington,NA,NA,DC,NA,NA,NA,Meeting with Obama,https://www.washingtonpost.com/politics/beto-orourke-met-with-barack-obama-as-he-ponders-a-2020-presidential-campaign/2018/12/04/fa895cc8-f7fb-11e8-8d64-4e79db33382f_story.html,NA
2018-11-10,NA,NA,Eric,Swalwell,Eric Swalwell,Des Moines,NA,NA,IA,NA,event speech,NA,Spoke with Asian & Latino Coalition,https://iowastartingline.com/2020-watch/,NA
